model,avg_inference_time_ms,images_per_second,total_inference_time_seconds,model_load_time_seconds,model_size_mb,parameter_count
scratch,3.683189695251559,271.50380043939083,1.4806422574911267,0.05989799997769296,9.148091316223145,2389030
transfer,4.012580960988998,249.21615531802894,1.6130575463175774,0.21084812504705042,42.72150707244873,11179590
mobilenetv2,6.78872869208696,147.30298489695343,2.729068934218958,0.19452187500428408,8.74476146697998,2231558
