precision,recall,threshold
0.3333333333333333,1.0,2.3703287865828315e-07
0.3341645885286783,1.0,2.866274826374138e-07
0.335,1.0,3.299759043784434e-07
0.3358395989974937,1.0,1.039913854583574e-06
0.33668341708542715,1.0,4.1168445932271425e-06
0.33753148614609574,1.0,4.4938692553841975e-06
0.3383838383838384,1.0,5.843283361173235e-06
0.3392405063291139,1.0,6.988257609918946e-06
0.3401015228426396,1.0,7.020238172117388e-06
0.34096692111959287,1.0,7.030544111330528e-06
0.34183673469387754,1.0,1.0281982213200536e-05
0.34271099744245526,1.0,1.029447594191879e-05
0.3435897435897436,1.0,1.2151272130722646e-05
0.3444730077120823,1.0,1.335355409537442e-05
0.34536082474226804,1.0,1.4499787539534736e-05
0.3462532299741602,1.0,1.709384741843678e-05
0.3471502590673575,1.0,1.772911309672054e-05
0.34805194805194806,1.0,2.2984593670116737e-05
0.3489583333333333,1.0,2.5398421712452546e-05
0.34986945169712796,1.0,3.106091025983915e-05
0.3507853403141361,1.0,4.1666349716251716e-05
0.35170603674540685,1.0,4.793999687535688e-05
0.3526315789473684,1.0,4.8224112106254324e-05
0.35356200527704484,1.0,4.8285706725437194e-05
0.3544973544973545,1.0,6.604328518733382e-05
0.35543766578249336,1.0,7.607816951349378e-05
0.35638297872340424,1.0,7.969455327838659e-05
0.35733333333333334,1.0,8.851107850205153e-05
0.3582887700534759,1.0,0.00011013603216269985
0.35924932975871315,1.0,0.0001336830173386261
0.3602150537634409,1.0,0.00013891194248571992
0.3611859838274933,1.0,0.00015930217341519892
0.3621621621621622,1.0,0.00018002185970544815
0.36314363143631434,1.0,0.00020899288938380778
0.3641304347826087,1.0,0.00022245364380069077
0.3651226158038147,1.0,0.00022791416267864406
0.366120218579235,1.0,0.00027853247593156993
0.36712328767123287,1.0,0.0002906758163589984
0.36813186813186816,1.0,0.00029990787152200937
0.3691460055096419,1.0,0.0003472317766863853
0.3701657458563536,1.0,0.00036023222492076457
0.37119113573407203,1.0,0.00036931881913915277
0.37222222222222223,1.0,0.0003730502212420106
0.3732590529247911,1.0,0.0003739534586202353
0.3743016759776536,1.0,0.000406271661631763
0.3753501400560224,1.0,0.0004094919131603092
0.37640449438202245,1.0,0.0004160987737122923
0.37746478873239436,1.0,0.0004329285875428468
0.3785310734463277,1.0,0.0004387026419863105
0.37960339943342775,1.0,0.00045108923222869635
0.3806818181818182,1.0,0.0005003506084904075
0.3817663817663818,1.0,0.0005115034291520715
0.38285714285714284,1.0,0.0005641120951622725
0.3839541547277937,1.0,0.0005645011551678181
0.3850574712643678,1.0,0.0006001484580338001
0.3861671469740634,1.0,0.0006826899480074644
0.3872832369942196,1.0,0.0006868374766781926
0.3884057971014493,1.0,0.0007507219561375678
0.38953488372093026,1.0,0.0007524247048422694
0.39067055393586003,1.0,0.0007831319235265255
0.391812865497076,1.0,0.0008365393150597811
0.39296187683284456,1.0,0.0008820239454507828
0.3941176470588235,1.0,0.0009812993230298162
0.3952802359882006,1.0,0.0010910736164078116
0.39644970414201186,1.0,0.0011756324674934149
0.39762611275964393,1.0,0.0012020815629512072
0.39880952380952384,1.0,0.0012236543698236346
0.4,1.0,0.0012394405202940106
0.40119760479041916,1.0,0.0013407773803919554
0.4024024024024024,1.0,0.001419440726749599
0.4036144578313253,1.0,0.0014251559041440487
0.40483383685800606,1.0,0.0016570567386224866
0.40606060606060607,1.0,0.0017263981280848384
0.4072948328267477,1.0,0.0017274925485253334
0.40853658536585363,1.0,0.0017840031068772078
0.40978593272171254,1.0,0.0021962549071758986
0.4110429447852761,1.0,0.002345641376450658
0.4123076923076923,1.0,0.0025639862287789583
0.41358024691358025,1.0,0.0025886413641273975
0.4148606811145511,1.0,0.0025966051034629345
0.4161490683229814,1.0,0.002616189420223236
0.4174454828660436,1.0,0.002852898556739092
0.41875,1.0,0.002995813265442848
0.4200626959247649,1.0,0.0031062529888004065
0.42138364779874216,1.0,0.003150562522932887
0.4227129337539432,1.0,0.003257236909121275
0.4240506329113924,1.0,0.003349851816892624
0.4253968253968254,1.0,0.003591724671423435
0.4267515923566879,1.0,0.003623503725975752
0.4281150159744409,1.0,0.003768382826820016
0.42948717948717946,1.0,0.0039054681546986103
0.43086816720257237,1.0,0.004142910707741976
0.432258064516129,1.0,0.00447263615205884
0.4336569579288026,1.0,0.00463388254866004
0.43506493506493504,1.0,0.004874886944890022
0.4364820846905538,1.0,0.0049278875812888145
0.43790849673202614,1.0,0.005087694153189659
0.43934426229508194,1.0,0.005430006422102451
0.4407894736842105,1.0,0.005783350672572851
0.44224422442244227,1.0,0.006126842461526394
0.44370860927152317,1.0,0.006312886718660593
0.44518272425249167,1.0,0.006703685503453016
0.44666666666666666,1.0,0.007250065915286541
0.44816053511705684,1.0,0.007361470256000757
0.44966442953020136,1.0,0.008080356754362583
0.4511784511784512,1.0,0.008276976644992828
0.4527027027027027,1.0,0.008406463079154491
0.4542372881355932,1.0,0.008440249599516392
0.4557823129251701,1.0,0.008471677079796791
0.45733788395904434,1.0,0.00865717139095068
0.4589041095890411,1.0,0.008705845102667809
0.46048109965635736,1.0,0.00884031318128109
0.46206896551724136,1.0,0.008930756710469723
0.46366782006920415,1.0,0.00899070966988802
0.4652777777777778,1.0,0.009454539977014065
0.46689895470383275,1.0,0.009621531702578068
0.46853146853146854,1.0,0.00988022144883871
0.47017543859649125,1.0,0.010411572642624378
0.47183098591549294,1.0,0.01060965284705162
0.4734982332155477,1.0,0.01070508174598217
0.475177304964539,1.0,0.010863972827792168
0.47686832740213525,1.0,0.011023234575986862
0.4785714285714286,1.0,0.0111538739874959
0.48028673835125446,1.0,0.011680599302053452
0.48201438848920863,1.0,0.012072553858160973
0.48375451263537905,1.0,0.012221058830618858
0.4855072463768116,1.0,0.012414972297847271
0.48727272727272725,1.0,0.013064266182482243
0.48905109489051096,1.0,0.013159001246094704
0.4908424908424908,1.0,0.013181321322917938
0.49264705882352944,1.0,0.013248015195131302
0.4944649446494465,1.0,0.013549109920859337
0.4962962962962963,1.0,0.01383165456354618
0.49814126394052044,1.0,0.013842017389833927
