,precision,recall,f1-score,support
billete,0.9701492537313433,0.9701492537313433,0.9701492537313433,67.0
knife,0.9552238805970149,0.9552238805970149,0.9552238805970149,67.0
monedero,0.9846153846153847,0.9552238805970149,0.9696969696969697,67.0
pistol,0.9285714285714286,0.9701492537313433,0.948905109489051,67.0
smartphone,0.9264705882352942,0.9402985074626866,0.9333333333333333,67.0
tarjeta,1.0,0.9701492537313433,0.9848484848484849,67.0
accuracy,0.9601990049751243,0.9601990049751243,0.9601990049751243,0.9601990049751243
macro avg,0.9608384226250776,0.9601990049751244,0.9603595052826996,402.0
weighted avg,0.9608384226250776,0.9601990049751243,0.9603595052826996,402.0
