precision,recall,threshold
0.3333333333333333,1.0,1.6977473649149033e-08
0.3341645885286783,1.0,2.2436218216626003e-08
0.335,1.0,2.3400851034693915e-08
0.3358395989974937,1.0,2.6634049632434653e-08
0.33668341708542715,1.0,3.5747810045450024e-08
0.33753148614609574,1.0,4.0479005036786475e-08
0.3383838383838384,1.0,7.749323316375012e-08
0.3392405063291139,1.0,7.796153056460753e-08
0.3401015228426396,1.0,9.523030541913613e-08
0.34096692111959287,1.0,1.0732181721095913e-07
0.34183673469387754,1.0,1.138547460755035e-07
0.34271099744245526,1.0,1.1523273713009985e-07
0.3435897435897436,1.0,1.5769720107527974e-07
0.3444730077120823,1.0,1.5864985414282273e-07
0.34536082474226804,1.0,1.589470883800459e-07
0.3462532299741602,1.0,1.59613321670804e-07
0.3471502590673575,1.0,1.8532492163103598e-07
0.34805194805194806,1.0,2.0877673989616596e-07
0.3489583333333333,1.0,2.3536787807643123e-07
0.34986945169712796,1.0,2.819443238877284e-07
0.3507853403141361,1.0,3.0409111673179723e-07
0.35170603674540685,1.0,3.3043897929019295e-07
0.3526315789473684,1.0,3.7232837257761275e-07
0.35356200527704484,1.0,4.1913267523341347e-07
0.3544973544973545,1.0,4.2741399397527857e-07
0.35543766578249336,1.0,4.795469976670574e-07
0.35638297872340424,1.0,5.240437417342036e-07
0.35733333333333334,1.0,5.56207737645309e-07
0.3582887700534759,1.0,5.825204425491393e-07
0.35924932975871315,1.0,6.011447339915321e-07
0.3602150537634409,1.0,6.52407265988586e-07
0.3611859838274933,1.0,6.602379585274321e-07
0.3621621621621622,1.0,6.674447377008619e-07
0.36314363143631434,1.0,7.178953751463268e-07
0.3641304347826087,1.0,7.455168997694273e-07
0.3651226158038147,1.0,7.919948075141292e-07
0.366120218579235,1.0,9.668685834185453e-07
0.36712328767123287,1.0,1.046263378157164e-06
0.36813186813186816,1.0,1.0756463098005042e-06
0.3691460055096419,1.0,1.2440017371773138e-06
0.3701657458563536,1.0,1.354050255031325e-06
0.37119113573407203,1.0,1.4458643136094906e-06
0.37222222222222223,1.0,1.482983179812436e-06
0.3732590529247911,1.0,1.679446086200187e-06
0.3743016759776536,1.0,1.7239713088201825e-06
0.3753501400560224,1.0,1.8453929442330264e-06
0.37640449438202245,1.0,1.8844871192413848e-06
0.37746478873239436,1.0,1.8878740775107872e-06
0.3785310734463277,1.0,2.0525856143649435e-06
0.37960339943342775,1.0,2.075234306175844e-06
0.3806818181818182,1.0,2.16781427297974e-06
0.3817663817663818,1.0,2.2951462597120553e-06
0.38285714285714284,1.0,2.6199456897302298e-06
0.3839541547277937,1.0,2.7766518542193808e-06
0.3850574712643678,1.0,2.813355422404129e-06
0.3861671469740634,1.0,2.8761082830897067e-06
0.3872832369942196,1.0,2.9244051802379545e-06
0.3884057971014493,1.0,2.954132241939078e-06
0.38953488372093026,1.0,3.1208860491460655e-06
0.39067055393586003,1.0,3.4710024010564666e-06
0.391812865497076,1.0,3.735543486982351e-06
0.39296187683284456,1.0,4.76291324957856e-06
0.3941176470588235,1.0,4.781641109730117e-06
0.3952802359882006,1.0,4.826464646612294e-06
0.39644970414201186,1.0,4.834689207200427e-06
0.39762611275964393,1.0,4.9384552767151035e-06
0.39880952380952384,1.0,5.086432793177664e-06
0.4,1.0,5.290668468660442e-06
0.40119760479041916,1.0,5.373520707507851e-06
0.4024024024024024,1.0,5.486042937263846e-06
0.4036144578313253,1.0,5.757486178481486e-06
0.40483383685800606,1.0,5.924302968196571e-06
0.40606060606060607,1.0,5.972691724309698e-06
0.4072948328267477,1.0,6.065038633096265e-06
0.40853658536585363,1.0,6.115702035458526e-06
0.40978593272171254,1.0,6.461764769483125e-06
0.4110429447852761,1.0,6.9953866841387935e-06
0.4123076923076923,1.0,7.043732694000937e-06
0.41358024691358025,1.0,7.193923920567613e-06
0.4148606811145511,1.0,7.688464393140748e-06
0.4161490683229814,1.0,7.777932296448853e-06
0.4174454828660436,1.0,7.793536497047171e-06
0.41875,1.0,8.18572243588278e-06
0.4200626959247649,1.0,8.385934961552266e-06
0.42138364779874216,1.0,9.019547178468201e-06
0.4227129337539432,1.0,9.333759408036713e-06
0.4240506329113924,1.0,9.557046723784879e-06
0.4253968253968254,1.0,9.66788411460584e-06
0.4267515923566879,1.0,1.0463371836522128e-05
0.4281150159744409,1.0,1.0555576409387868e-05
