precision,recall,threshold
0.3333333333333333,1.0,9.38404423611594e-11
0.3341645885286783,1.0,5.410265013772175e-10
0.335,1.0,1.1807186339751752e-09
0.3358395989974937,1.0,3.505699952555119e-09
0.33668341708542715,1.0,7.4481745215848605e-09
0.33753148614609574,1.0,7.876480800916852e-09
0.3383838383838384,1.0,8.065175194360563e-09
0.3392405063291139,1.0,1.0159771690609887e-08
0.3401015228426396,1.0,1.2674025384740162e-08
0.34096692111959287,1.0,1.2905443824706708e-08
0.34183673469387754,1.0,1.717557118752211e-08
0.34271099744245526,1.0,2.2930509047114356e-08
0.3435897435897436,1.0,2.9568070658569923e-08
0.3444730077120823,1.0,4.2618065521082826e-08
0.34536082474226804,1.0,7.3717032478271e-08
0.3462532299741602,1.0,7.526833201154659e-08
0.3471502590673575,1.0,8.496351000530922e-08
0.34805194805194806,1.0,8.578946619763883e-08
0.3489583333333333,1.0,8.990529209995657e-08
0.34986945169712796,1.0,1.0839076480806398e-07
0.3507853403141361,1.0,1.234663358218313e-07
0.35170603674540685,1.0,1.2559249285004626e-07
0.3526315789473684,1.0,1.4656886548891634e-07
0.35356200527704484,1.0,1.634444117826206e-07
0.3544973544973545,1.0,2.0875744155546272e-07
0.35543766578249336,1.0,2.1486940227077866e-07
0.35638297872340424,1.0,2.2198628357728012e-07
0.35733333333333334,1.0,2.2382488396033295e-07
0.3582887700534759,1.0,2.2764118057239102e-07
0.35924932975871315,1.0,2.4963961209323315e-07
0.3602150537634409,1.0,3.4449089980626013e-07
0.3611859838274933,1.0,4.288537240881851e-07
0.3621621621621622,1.0,4.6997521963021427e-07
0.36314363143631434,1.0,4.840873089051456e-07
0.3641304347826087,1.0,5.293845219966897e-07
0.3651226158038147,1.0,5.373283329390688e-07
0.366120218579235,1.0,5.729839358536992e-07
0.36712328767123287,1.0,5.974130772301578e-07
0.36813186813186816,1.0,6.295834964475944e-07
0.3691460055096419,1.0,6.864110559945402e-07
0.3701657458563536,1.0,6.944849246792728e-07
0.37119113573407203,1.0,7.229349989756884e-07
0.37222222222222223,1.0,7.502683843085833e-07
0.3732590529247911,1.0,8.297267868329072e-07
0.3743016759776536,1.0,9.033270771396928e-07
0.3753501400560224,1.0,9.671634870755952e-07
0.37640449438202245,1.0,9.773823421710404e-07
0.37746478873239436,1.0,1.0148860383196734e-06
0.3785310734463277,1.0,1.0464094657436362e-06
0.37960339943342775,1.0,1.0831956842594082e-06
0.3806818181818182,1.0,1.0999376627296442e-06
0.3817663817663818,1.0,1.190098146253149e-06
0.38285714285714284,1.0,1.2410974932208774e-06
0.3839541547277937,1.0,1.3093342658976326e-06
0.3850574712643678,1.0,1.3120411495037843e-06
0.3861671469740634,1.0,1.4298301493909094e-06
0.3872832369942196,1.0,1.4629338238592027e-06
0.3884057971014493,1.0,1.4859195971439476e-06
0.38953488372093026,1.0,1.524865524515917e-06
0.39067055393586003,1.0,1.6249472309937119e-06
0.391812865497076,1.0,1.6353403680113843e-06
0.39296187683284456,1.0,1.7077502434403868e-06
0.3941176470588235,1.0,1.721887542771583e-06
0.3952802359882006,1.0,1.7641639260546071e-06
0.39644970414201186,1.0,1.7929532987182029e-06
0.39762611275964393,1.0,1.848394276748877e-06
0.39880952380952384,1.0,1.9307585716887843e-06
0.4,1.0,1.935977024913882e-06
0.40119760479041916,1.0,1.973027792701032e-06
0.4024024024024024,1.0,1.9831493318633875e-06
0.4036144578313253,1.0,2.1184011984587414e-06
0.40483383685800606,1.0,2.3460322609025752e-06
0.40606060606060607,1.0,2.3817713099560933e-06
0.4072948328267477,1.0,2.484054675733205e-06
0.40853658536585363,1.0,2.723215402511414e-06
0.40978593272171254,1.0,3.111344085482415e-06
0.4110429447852761,1.0,3.168626790284179e-06
0.4123076923076923,1.0,3.216426193830557e-06
0.41358024691358025,1.0,3.4259571748407325e-06
0.4148606811145511,1.0,3.5008395116165048e-06
0.4161490683229814,1.0,3.5665254927153e-06
0.4174454828660436,1.0,3.883613771904493e-06
0.41875,1.0,3.931752871721983e-06
0.4200626959247649,1.0,3.945471235056175e-06
0.42138364779874216,1.0,3.998985903308494e-06
0.4227129337539432,1.0,4.050909865327412e-06
0.4240506329113924,1.0,4.075965080119204e-06
0.4253968253968254,1.0,4.148924745095428e-06
0.4267515923566879,1.0,4.2173137444478925e-06
0.4281150159744409,1.0,4.22785933551495e-06
0.42948717948717946,1.0,4.244915544404648e-06
0.43086816720257237,1.0,4.424215603648918e-06
0.432258064516129,1.0,4.7400030780409e-06
0.4336569579288026,1.0,4.847172931476962e-06
0.43506493506493504,1.0,5.520187187357806e-06
0.4364820846905538,1.0,5.546129159483826e-06
0.43790849673202614,1.0,5.936711204412859e-06
0.43934426229508194,1.0,6.227406174730277e-06
0.4407894736842105,1.0,6.614643098146189e-06
0.44224422442244227,1.0,6.6193315433338284e-06
0.44370860927152317,1.0,6.762192242604215e-06
0.44518272425249167,1.0,6.776711416023318e-06
0.44666666666666666,1.0,6.842194579803618e-06
0.44816053511705684,1.0,7.528075457230443e-06
0.44966442953020136,1.0,7.621483291586628e-06
0.4511784511784512,1.0,7.741946319583803e-06
0.4527027027027027,1.0,7.753593308734708e-06
0.4542372881355932,1.0,8.031422112253495e-06
0.4557823129251701,1.0,8.358827471965924e-06
0.45733788395904434,1.0,8.706387234269641e-06
0.4589041095890411,1.0,9.393949767400045e-06
0.46048109965635736,1.0,9.56806616159156e-06
0.46206896551724136,1.0,9.84788675850723e-06
0.46366782006920415,1.0,1.0125550943484996e-05
0.4652777777777778,1.0,1.0240290066576563e-05
0.46689895470383275,1.0,1.0991061571985483e-05
0.46853146853146854,1.0,1.1408415957703255e-05
0.47017543859649125,1.0,1.1425312550272793e-05
0.47183098591549294,1.0,1.1736946362361778e-05
0.4734982332155477,1.0,1.1897484000655822e-05
0.475177304964539,1.0,1.1985230230493471e-05
0.47686832740213525,1.0,1.3107222912367433e-05
0.4785714285714286,1.0,1.3226249393483158e-05
0.48028673835125446,1.0,1.341180359304417e-05
0.48201438848920863,1.0,1.574109228386078e-05
0.48375451263537905,1.0,1.6879528629942797e-05
0.4855072463768116,1.0,1.8815917428582907e-05
0.48727272727272725,1.0,1.9108803826384246e-05
0.48905109489051096,1.0,1.9295417587272823e-05
0.4908424908424908,1.0,2.047645284619648e-05
0.49264705882352944,1.0,2.2624642951996066e-05
