fpr,tpr,threshold
0.0,0.0,inf
0.0,0.007462686567164179,0.9999940395355225
0.0,0.4626865671641791,0.9910493493080139
0.0037313432835820895,0.4626865671641791,0.9901815056800842
0.0037313432835820895,0.7089552238805971,0.959439754486084
0.007462686567164179,0.7089552238805971,0.9542431831359863
0.007462686567164179,0.7761194029850746,0.910030722618103
0.011194029850746268,0.7761194029850746,0.9082499146461487
0.011194029850746268,0.8134328358208955,0.8792394399642944
0.018656716417910446,0.8134328358208955,0.853305459022522
0.018656716417910446,0.8283582089552238,0.8475533723831177
0.029850746268656716,0.8283582089552238,0.8379932045936584
0.029850746268656716,0.8582089552238806,0.7892224192619324
0.041044776119402986,0.8582089552238806,0.7665416598320007
0.041044776119402986,0.8731343283582089,0.7574756741523743
0.04477611940298507,0.8731343283582089,0.7455344796180725
0.04477611940298507,0.8805970149253731,0.7447608709335327
0.048507462686567165,0.8805970149253731,0.7317010760307312
0.048507462686567165,0.8880597014925373,0.7294129133224487
0.055970149253731345,0.8880597014925373,0.7163097262382507
0.055970149253731345,0.8955223880597015,0.7145990133285522
0.06343283582089553,0.8955223880597015,0.6943545937538147
0.06343283582089553,0.9029850746268657,0.6822260618209839
0.07462686567164178,0.9029850746268657,0.6700078248977661
0.07462686567164178,0.9104477611940298,0.633058488368988
0.08208955223880597,0.9104477611940298,0.6138901710510254
0.08208955223880597,0.917910447761194,0.6132871508598328
0.08955223880597014,0.917910447761194,0.5912993550300598
0.08955223880597014,0.9253731343283582,0.5832998156547546
0.1044776119402985,0.9253731343283582,0.5445175170898438
0.1044776119402985,0.9328358208955224,0.5299854278564453
0.11567164179104478,0.9328358208955224,0.5216673612594604
0.11567164179104478,0.9402985074626866,0.4822812080383301
0.13059701492537312,0.9402985074626866,0.42688801884651184
0.13059701492537312,0.9477611940298507,0.3979666829109192
0.1455223880597015,0.9477611940298507,0.31933829188346863
0.1455223880597015,0.9552238805970149,0.31295710802078247
0.17164179104477612,0.9552238805970149,0.2705952525138855
0.17164179104477612,0.9626865671641791,0.2644255757331848
0.19029850746268656,0.9626865671641791,0.23645450174808502
0.19029850746268656,0.9701492537313433,0.22074134647846222
0.19402985074626866,0.9701492537313433,0.20856904983520508
0.19402985074626866,0.9776119402985075,0.20758485794067383
0.208955223880597,0.9776119402985075,0.20236505568027496
0.208955223880597,0.9925373134328358,0.19818726181983948
0.2537313432835821,0.9925373134328358,0.144674614071846
0.2537313432835821,1.0,0.1439489722251892
1.0,1.0,2.3703287865828315e-07
