,precision,recall,f1-score,support
billete,0.9322033898305084,0.8208955223880597,0.873015873015873,67.0
knife,0.7126436781609196,0.9253731343283582,0.8051948051948052,67.0
monedero,0.7704918032786885,0.7014925373134329,0.734375,67.0
pistol,0.7714285714285715,0.8059701492537313,0.7883211678832117,67.0
smartphone,0.7868852459016393,0.7164179104477612,0.75,67.0
tarjeta,0.828125,0.7910447761194029,0.8091603053435115,67.0
accuracy,0.7935323383084577,0.7935323383084577,0.7935323383084577,0.7935323383084577
macro avg,0.8002962814333879,0.7935323383084577,0.7933445252395669,402.0
weighted avg,0.8002962814333878,0.7935323383084577,0.7933445252395669,402.0
