model,total_images,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,binary_accuracy,binary_precision,binary_recall,binary_f1,binary_roc_auc,binary_pr_auc,total_errors,multiclass_error_rate,binary_errors,false_positives,false_negatives,avg_inference_time_ms,images_per_second,total_inference_time_seconds,model_load_time_seconds,model_size_mb,parameter_count
scratch,402,0.7935323383084577,0.7935323383084577,0.8002962814333879,0.7935323383084577,0.7933445252395669,0.8002962814333878,0.7935323383084577,0.7933445252395669,0.8930348258706468,0.7898089171974523,0.9253731343283582,0.852233676975945,0.9800902205390954,0.9647504305352947,83,0.2064676616915423,43,33,10,3.683189695251559,271.50380043939083,1.4806422574911267,0.05989799997769296,9.148091316223145,2389030
transfer,402,0.9601990049751243,0.9601990049751244,0.9608384226250776,0.9601990049751244,0.9603595052826996,0.9608384226250776,0.9601990049751243,0.9603595052826996,0.9875621890547264,0.9708029197080292,0.9925373134328358,0.981549815498155,0.9992760080196035,0.9985378494138839,16,0.03980099502487562,5,4,1,4.012580960988998,249.21615531802894,1.6130575463175774,0.21084812504705042,42.72150707244873,11179590
mobilenetv2,402,0.9577114427860697,0.9577114427860697,0.9590740892702515,0.9577114427860697,0.9579602552014497,0.9590740892702517,0.9577114427860697,0.9579602552014499,0.9776119402985075,0.9432624113475178,0.9925373134328358,0.9672727272727273,0.9997215415460013,0.9994817578772803,17,0.04228855721393035,9,8,1,6.78872869208696,147.30298489695343,2.729068934218958,0.19452187500428408,8.74476146697998,2231558
