fpr,tpr,threshold
0.0,0.0,inf
0.0,0.1044776119402985,1.0
0.0,0.15671641791044777,0.9999999403953552
0.0,0.20149253731343283,0.9999998807907104
0.0,0.2462686567164179,0.9999997019767761
0.0,0.26865671641791045,0.9999994039535522
0.0,0.291044776119403,0.9999991655349731
0.0,0.31343283582089554,0.9999988079071045
0.0,0.3358208955223881,0.9999987483024597
0.0,0.35074626865671643,0.9999986290931702
0.0,0.3656716417910448,0.999998152256012
0.0,0.3880597014925373,0.9999973177909851
0.0,0.40298507462686567,0.9999962449073792
0.0,0.44776119402985076,0.9999955892562866
0.0,0.4626865671641791,0.9999952912330627
0.0,0.5,0.9999939799308777
0.0,0.5149253731343284,0.9999937415122986
0.0,0.9925373134328358,0.9829237461090088
0.03731343283582089,0.9925373134328358,0.2803279161453247
0.03731343283582089,1.0,0.2797534763813019
1.0,1.0,1.6977473649149033e-08
